Test Name,Target,Achieved,Success Rate,Rate (per sec),Duration (s),Notes
Connection Apocalypse,10000,10000,100.0%,503.8,19.85,Peak connections: 10000
Message Tsunami,100000,100000,100.0%,76762.3,1.30,Errors: 0
